r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0,0,-0.01,0.01,-0.150573600891372,-0.160573600891372,-0.140573600891372
0.001,0,-0.01,0.01,-0.150607112753505,-0.160607112753505,-0.140607112753505
0.002,0,-0.01,0.01,-0.150640605973405,-0.160640605973405,-0.140640605973405
0.003,0,-0.01,0.01,-0.150674080551072,-0.160674080551072,-0.140674080551072
0.004,0,-0.01,0.01,-0.150707536486505,-0.160707536486505,-0.140707536486505
0.005,0,-0.01,0.01,-0.150740973779705,-0.160740973779705,-0.140740973779705
0.006,0,-0.01,0.01,-0.150774392430672,-0.160774392430672,-0.140774392430672
0.007,0,-0.01,0.01,-0.150807792439405,-0.160807792439405,-0.140807792439405
0.008,0,-0.01,0.01,-0.150841173805906,-0.160841173805906,-0.140841173805906
0.009,0,-0.01,0.01,-0.150874536530173,-0.160874536530173,-0.140874536530173
0.01,0,-0.01,0.01,-0.150907880612207,-0.160907880612207,-0.140907880612207
0.011,0,-0.01,0.01,-0.150941206052007,-0.160941206052007,-0.140941206052007
0.012,0,-0.01,0.01,-0.150974512849574,-0.160974512849574,-0.140974512849574
0.013,0,-0.01,0.01,-0.151007801004908,-0.161007801004908,-0.141007801004908
0.014,0,-0.01,0.01,-0.151041070518009,-0.161041070518009,-0.141041070518009
0.015,0,-0.01,0.01,-0.151074321388877,-0.161074321388877,-0.141074321388877
0.016,0,-0.01,0.01,-0.151107553617511,-0.161107553617511,-0.141107553617511
0.017,0,-0.01,0.01,-0.151140767203912,-0.161140767203912,-0.141140767203912
0.018,0,-0.01,0.01,-0.15117396214808,-0.16117396214808,-0.14117396214808
0.019,0,-0.01,0.01,-0.151207138450014,-0.161207138450014,-0.141207138450014
0.02,0,-0.01,0.01,-0.151240296109715,-0.161240296109715,-0.141240296109715
0.021,0,-0.01,0.01,-0.151273435127183,-0.161273435127183,-0.141273435127183
0.022,0,-0.01,0.01,-0.151306555502418,-0.161306555502418,-0.141306555502418
0.023,0,-0.01,0.01,-0.151339657235419,-0.161339657235419,-0.141339657235419
0.024,0,-0.01,0.01,-0.151372740326188,-0.161372740326188,-0.141372740326188
0.025,0,-0.01,0.01,-0.151405804774722,-0.161405804774722,-0.141405804774722
0.026,0,-0.01,0.01,-0.151438850581024,-0.161438850581024,-0.141438850581024
0.027,0,-0.01,0.01,-0.151471877745092,-0.161471877745092,-0.141471877745092
0.028,0,-0.01,0.01,-0.151504886266928,-0.161504886266928,-0.141504886266928
0.029,0,-0.01,0.01,-0.151537876146529,-0.161537876146529,-0.141537876146529
0.03,0,-0.01,0.01,-0.151570847383898,-0.161570847383898,-0.141570847383898
0.031,0,-0.01,0.01,-0.151603799979033,-0.161603799979033,-0.141603799979033
0.032,0,-0.01,0.01,-0.151636733931935,-0.161636733931935,-0.141636733931935
0.033,0,-0.01,0.01,-0.151669649242604,-0.161669649242604,-0.141669649242604
0.034,0,-0.01,0.01,-0.15170254591104,-0.16170254591104,-0.14170254591104
0.035,0,-0.01,0.01,-0.151735423937242,-0.161735423937242,-0.141735423937242
0.036,0,-0.01,0.01,-0.151768283321211,-0.161768283321211,-0.141768283321211
0.037,0,-0.01,0.01,-0.151801124062947,-0.161801124062947,-0.141801124062947
0.038,0,-0.01,0.01,-0.151833946162449,-0.161833946162449,-0.141833946162449
0.039,0,-0.01,0.01,-0.151866749619719,-0.161866749619719,-0.141866749619719
0.04,0,-0.01,0.01,-0.151899534434755,-0.161899534434755,-0.141899534434755
